product_name,category,slug,price,promotion_status,evidence_level,rc_product_url
NAD+ 500mg,Research Peptides,nad-500mg-vial,€70.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/nad-500mg-vial
Noopept 100x10mg,Powder,noopept-10mgx90,€30.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/noopept-10mgx90
Orexin A 10mg,Research Peptides,orexin-a-10mg-vial,€120.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/orexin-a-10mg-vial
Ovagen 20mg,Bioregulators,ovagen-20mg-vial,€55.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ovagen-20mg-vial
PE-22-28 10mg,Nootropics,pe-22-28-10mg-vial,€40.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/pe-22-28-10mg-vial
Pancragen 20mg,Bioregulators,pancragen-20mg-vial,€40.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/pancragen-20mg-vial
Pinealon 20mg,Nootropics,pinealon-10mg-vial,€55.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/pinealon-10mg-vial
Ru58841 1g,Research Peptides,ru58841-1g,€20.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ru58841-1g
SLU-PP-332 10mg,Research Peptides,slu-pp-332-5mg-vial,€80.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/slu-pp-332-5mg-vial
SS-31 50mg,Research Peptides,ss-31-10mg-vial,€127.50,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ss-31-10mg-vial
Selank 10mg,Nasal,selank-10mg-vial,€30.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/selank-10mg-vial
Semax 10mg,Nasal,semax-10mg-vial,€30.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/semax-10mg-vial
Sermorelin 10mg,GH Analogs and Secretagogues,sermorelin-10mg-vial,€60.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/sermorelin-10mg-vial
Snap-8 10mg,Research Peptides,snap-8-10mg-vial,€30.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/snap-8-10mg-vial
TB500 100x500mcg,Research Peptides,tb500-100x500mcg,€100.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/tb500-100x500mcg
TB500 10mg,Research Peptides,tb500-10mg-vial,€37.50,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/tb500-10mg-vial
Testagen 20mg,Bioregulators,testagen-20mg-vial,€52.50,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/testagen-20mg-vial
Thymalin 10mg,Research Peptides,thymalin-10mg-vial,€40.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/thymalin-10mg-vial
VIP 10mg,Research Peptides,vip-10mg-vial,€57.50,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/vip-10mg-vial
Vesugen 20mg,Bioregulators,vesugen-20mg-vial,€50.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/vesugen-20mg-vial
Vilon 20mg,Research Peptides,vilon-5mg-vial,€50.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/vilon-5mg-vial
