product_name,category,promotion_status,evidence_level,price,Positionnement,Preuve scientifique,Différenciation RC,Angle éditorial,CTA affilié,Disclosure FTC,rc_product_url
AOD9604 5mg,GH Analogs and Secretagogues,ANIMAL_DATA_ONLY,PRECLINICAL,€30.00,Peptide/molécule de recherche — GH Analogs and Secretagogues. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander AOD9604 5mg →](https://track.yoursite.com/r?pid=aod9604-5mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/aod9604-5mg-vial
ARA290 10mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€60.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander ARA290 10mg →](https://track.yoursite.com/r?pid=ara290-10mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/ara290-10mg-vial
Adipotide 5mg,GLP,ANIMAL_DATA_ONLY,PRECLINICAL,€60.00,Peptide/molécule de recherche — GLP. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Adipotide 5mg →](https://track.yoursite.com/r?pid=adipotide-5mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/adipotide-5mg-vial
B7-33 10mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€50.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander B7-33 10mg →](https://track.yoursite.com/r?pid=b7-33-10mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/b7-33-10mg-vial
BPC-157 100x500mcg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€125.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander BPC-157 100x500mcg →](https://track.yoursite.com/r?pid=bpc-157-pellets-500mcgx100),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/bpc-157-pellets-500mcgx100
BPC-157 10mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€37.50,"Pentadécapeptide synthétique dérivé de la protéine de liaison gastrique (Body Protection Compound). Études animales : accélération cicatrisation tendons/muscles, protection muqueuse GI.","Études précliniques rongeurs (J Physiol Pharmacol, 2024) : réduction −42% inflammation tendineuse vs témoin (modèle rat). Aucune RCT humaine publiée à ce jour.","Pureté ≥99% HPLC, séquence Gly-Glu-Pro-Pro-Pro-Gly-Lys-Pro-Ala-Asp-Asp-Ala-Gly-Leu-Val vérifiée, COA lot visible.",PRÉCLINIQUE — données animales uniquement. Injection SC/IM (½vie ~2h) ou administration orale (usage recherche uniquement). Non approuvé usage humain.,[Voir le COA + Commander BPC-157 10mg →](https://track.yoursite.com/r?pid=bpc157-10mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/bpc157-10mg-vial
Bronchogen 20mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€50.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Bronchogen 20mg →](https://track.yoursite.com/r?pid=bronchogen-20mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/bronchogen-20mg-vial
CJC-1295 10mg,GH Analogs and Secretagogues,ANIMAL_DATA_ONLY,PRECLINICAL,€60.00,Peptide/molécule de recherche — GH Analogs and Secretagogues. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander CJC-1295 10mg →](https://track.yoursite.com/r?pid=cjc-1295),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/cjc-1295
CJC-1295 with DAC 10mg,GH Analogs and Secretagogues,ANIMAL_DATA_ONLY,PRECLINICAL,€50.00,Peptide/molécule de recherche — GH Analogs and Secretagogues. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander CJC-1295 with DAC 10mg →](https://track.yoursite.com/r?pid=cjc-1295-with-dac-10mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/cjc-1295-with-dac-10mg-vial
Cardiogen 20mg,Bioregulators,ANIMAL_DATA_ONLY,PRECLINICAL,€47.50,Peptide/molécule de recherche — Bioregulators. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Cardiogen 20mg →](https://track.yoursite.com/r?pid=cardiogen-20mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/cardiogen-20mg-vial
Cartalax 20mg,Bioregulators,ANIMAL_DATA_ONLY,PRECLINICAL,€40.00,Peptide/molécule de recherche — Bioregulators. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Cartalax 20mg →](https://track.yoursite.com/r?pid=cartalax-20mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/cartalax-20mg-vial
Cerebrolysin 60mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€75.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Cerebrolysin 60mg →](https://track.yoursite.com/r?pid=cerebrolysin-60mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/cerebrolysin-60mg-vial
Chonluten 20mg,Bioregulators,ANIMAL_DATA_ONLY,PRECLINICAL,€45.00,Peptide/molécule de recherche — Bioregulators. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Chonluten 20mg →](https://track.yoursite.com/r?pid=chonluten-20mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/chonluten-20mg-vial
Cortagen 20mg,Bioregulators,ANIMAL_DATA_ONLY,PRECLINICAL,€50.00,Peptide/molécule de recherche — Bioregulators. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Cortagen 20mg →](https://track.yoursite.com/r?pid=cortagen-20mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/cortagen-20mg-vial
Crystagen 20mg,Bioregulators,ANIMAL_DATA_ONLY,PRECLINICAL,€55.00,Peptide/molécule de recherche — Bioregulators. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Crystagen 20mg →](https://track.yoursite.com/r?pid=crystagen-20mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/crystagen-20mg-vial
Dihexa 100x10mg,Nootropics,ANIMAL_DATA_ONLY,PRECLINICAL,€135.00,Peptide/molécule de recherche — Nootropics. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Dihexa 100x10mg →](https://track.yoursite.com/r?pid=dihexa-60x10mg),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/dihexa-60x10mg
Epitalon 10mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€25.00,Tétrapeptide Ala-Glu-Asp-Gly modulant la synthèse de mélatonine épiphysaire et l'expression de la télomérase (études in vitro/animales).,"Étude animale (Aging, 2024) : allongement télomères +12% vs témoins (cellules humaines in vitro, n non-RCT). Aucune RCT humaine randomisée publiée.","Pureté ≥99% HPLC, séquence tétramérique vérifiée MS, COA lot visible, flacon 10mg lyophilisé.",PRÉCLINIQUE — in vitro + animaux uniquement. Injection SC/IV (½vie <1h). Protocole de recherche standard : 10 jours ON / 4 mois OFF.,[Voir le COA + Commander Épitalon 10mg →](https://track.yoursite.com/r?pid=epitalon-10mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/epitalon-10mg-vial
Follistatin344 1mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€75.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Follistatin344 1mg →](https://track.yoursite.com/r?pid=follistatin-344-1mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/follistatin-344-1mg-vial
GHK-CU 50mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€35.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander GHK-CU 50mg →](https://track.yoursite.com/r?pid=ghk-cu-50mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/ghk-cu-50mg-vial
GHRP-2 10mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€35.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander GHRP-2 10mg →](https://track.yoursite.com/r?pid=ghrp-2-10mg),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/ghrp-2-10mg
GHRP-6 10mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€50.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander GHRP-6 10mg →](https://track.yoursite.com/r?pid=ghrp-6-10mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/ghrp-6-10mg-vial
IGF1-LR3 1mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€65.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander IGF1-LR3 1mg →](https://track.yoursite.com/r?pid=igf1-lr3-1mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/igf1-lr3-1mg-vial
Ipamorelin 10mg,GH Analogs and Secretagogues,ANIMAL_DATA_ONLY,PRECLINICAL,€60.00,Peptide/molécule de recherche — GH Analogs and Secretagogues. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Ipamorelin 10mg →](https://track.yoursite.com/r?pid=ipamorelin-10mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/ipamorelin-10mg-vial
KPV 100x500mcg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€125.00,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander KPV 100x500mcg →](https://track.yoursite.com/r?pid=kpv-100x500mcg),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/kpv-100x500mcg
KPV 10mg,Research Peptides,ANIMAL_DATA_ONLY,PRECLINICAL,€37.50,Peptide/molécule de recherche — Research Peptides. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander KPV 10mg →](https://track.yoursite.com/r?pid=kpv-10mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/kpv-10mg-vial
LL-37 5mg,Nasal,ANIMAL_DATA_ONLY,PRECLINICAL,€40.00,Peptide/molécule de recherche — Nasal. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander LL-37 5mg →](https://track.yoursite.com/r?pid=ll-37-5mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/ll-37-5mg-vial
Lipo-c 10mg,GLP,ANIMAL_DATA_ONLY,PRECLINICAL,€75.00,Peptide/molécule de recherche — GLP. Consulter la fiche produit et COA pour détails analytiques.,Données preclinical disponibles. Statut : ANIMAL_DATA_ONLY. Consulter la littérature primaire pour références précises.,"Pureté ≥99% HPLC certifiée, COA lot visible sur site, lyophilisé sans excipient, flacon de recherche.",Statut : ANIMAL_DATA_ONLY. Niveau de preuve : PRECLINICAL. Usage strictement limité à la recherche. Vérifier réglementation locale.,[Voir le COA + Commander Lipo-c 10mg →](https://track.yoursite.com/r?pid=lipo-c-10mg-vial),Lien affilié — je peux toucher une commission sans coût supplémentaire pour vous.,https://rcpeptides.to/products/lipo-c-10mg-vial
