product_name,category,slug,price,promotion_status,evidence_level,rc_product_url
"Epitalon 10mg","Research Peptides","epitalon-10mg-vial","€25.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/epitalon-10mg-vial"
"Selank 10mg","Nasal","selank-10mg-vial","€30.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/selank-10mg-vial"
"Orexin A 10mg","Research Peptides","orexin-a-10mg-vial","€120.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/orexin-a-10mg-vial"
"Follistatin344 1mg","Research Peptides","follistatin-344-1mg-vial","€75.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/follistatin-344-1mg-vial"
"GHRP-6 10mg","Research Peptides","ghrp-6-10mg-vial","€50.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ghrp-6-10mg-vial"
"GHRP-2 10mg","Research Peptides","ghrp-2-10mg","€35.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ghrp-2-10mg"
"Sermorelin 10mg","GH Analogs and Secretagogues","sermorelin-10mg-vial","€60.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/sermorelin-10mg-vial"
"CJC-1295 with DAC 10mg","GH Analogs and Secretagogues","cjc-1295-with-dac-10mg-vial","€50.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/cjc-1295-with-dac-10mg-vial"
"Thymalin 10mg","Research Peptides","thymalin-10mg-vial","€40.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/thymalin-10mg-vial"
"Vilon 20mg","Research Peptides","vilon-5mg-vial","€50.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/vilon-5mg-vial"
"SS-31 50mg","Research Peptides","ss-31-10mg-vial","€127.50","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ss-31-10mg-vial"
"Pinealon 20mg","Nootropics","pinealon-10mg-vial","€55.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/pinealon-10mg-vial"
"5-Amino-1-MQ 50mg","Nasal","5-amino-1-mq-5mg-vial","€60.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/5-amino-1-mq-5mg-vial"
"VIP 10mg","Research Peptides","vip-10mg-vial","€57.50","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/vip-10mg-vial"
"AOD9604 10mg","GH Analogs and Secretagogues","aod9604-10mg-vial","€50.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/aod9604-10mg-vial"
"TB500 100x500mcg","Research Peptides","tb500-100x500mcg","€100.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/tb500-100x500mcg"
"KPV 100x500mcg","Research Peptides","kpv-100x500mcg","€125.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/kpv-100x500mcg"
"BPC-157 100x500mcg","Research Peptides","bpc-157-pellets-500mcgx100","€125.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/bpc-157-pellets-500mcgx100"
"L-carnitine 5000mg","Research Peptides","l-carnitine-500mg","€20.00","CLINICAL","CLINICAL","https://rcpeptides.to/products/l-carnitine-500mg"
"L-glutathione 1500mg","Research Materials","l-glutathione","€35.00","CLINICAL","CLINICAL","https://rcpeptides.to/products/l-glutathione"
"Noopept 100x10mg","Powder","noopept-10mgx90","€30.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/noopept-10mgx90"
"Cerebrolysin 60mg","Research Peptides","cerebrolysin-60mg-vial","€75.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/cerebrolysin-60mg-vial"
"GLP-3 10mg","Research Peptides","glp-3-10mg-vial","€65.00","PRESCRIPTION_ONLY","CLINICAL","https://rcpeptides.to/products/glp-3-10mg-vial"
"SLU-PP-332 10mg","Research Peptides","slu-pp-332-5mg-vial","€80.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/slu-pp-332-5mg-vial"
"HCG 5000iu","Research Peptides","human-chorionic-gonadotropinhcg-5000iu-vial","€32.50","PRESCRIPTION_ONLY","CLINICAL","https://rcpeptides.to/products/human-chorionic-gonadotropinhcg-5000iu-vial"
"TUDCA 100x500mg","Research Materials","tudca-100x500mg","€60.00","CLINICAL","CLINICAL","https://rcpeptides.to/products/tudca-100x500mg"
"Ru58841 1g","Research Peptides","ru58841-1g","€20.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ru58841-1g"
"Cartalax 20mg","Bioregulators","cartalax-20mg-vial","€40.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/cartalax-20mg-vial"
"Testagen 20mg","Bioregulators","testagen-20mg-vial","€52.50","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/testagen-20mg-vial"
"Bronchogen 20mg","Research Peptides","bronchogen-20mg-vial","€50.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/bronchogen-20mg-vial"
"Cardiogen 20mg","Bioregulators","cardiogen-20mg-vial","€47.50","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/cardiogen-20mg-vial"
"Vesugen 20mg","Bioregulators","vesugen-20mg-vial","€50.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/vesugen-20mg-vial"
"Ovagen 20mg","Bioregulators","ovagen-20mg-vial","€55.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ovagen-20mg-vial"
"Crystagen 20mg","Bioregulators","crystagen-20mg-vial","€55.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/crystagen-20mg-vial"
"Cortagen 20mg","Bioregulators","cortagen-20mg-vial","€50.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/cortagen-20mg-vial"
"Pancragen 20mg","Bioregulators","pancragen-20mg-vial","€40.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/pancragen-20mg-vial"
"Chonluten 20mg","Bioregulators","chonluten-20mg-vial","€45.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/chonluten-20mg-vial"
"Teriparatide 10mg","Bioregulators","teriparatide-10mg-vial","€80.00","PRESCRIPTION_ONLY","CLINICAL","https://rcpeptides.to/products/teriparatide-10mg-vial"
"AHK-CU 100mg","Research Peptides","ahk-cu-100mg-vial","€52.50","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ahk-cu-100mg-vial"
"AICAR 100mg","Research Peptides","aicar-100mg","€75.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/aicar-100mg"
"B7-33 10mg","Research Peptides","b7-33-10mg-vial","€50.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/b7-33-10mg-vial"
"Adipotide 5mg","GLP","adipotide-5mg-vial","€60.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/adipotide-5mg-vial"
"Cagrilintide 10mg","GLP","cagrilintide-10mg","€80.00","PRESCRIPTION_ONLY","CLINICAL","https://rcpeptides.to/products/cagrilintide-10mg"
"Lipo-c 10mg","GLP","lipo-c-10mg-vial","€75.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/lipo-c-10mg-vial"
"Mazdutide 10mg","Research Peptides","mazdutide-10mg-vial","€80.00","PRESCRIPTION_ONLY","CLINICAL","https://rcpeptides.to/products/mazdutide-10mg-vial"
"ARA290 10mg","Research Peptides","ara290-10mg-vial","€60.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ara290-10mg-vial"
"Snap-8 10mg","Research Peptides","snap-8-10mg-vial","€30.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/snap-8-10mg-vial"
"LL-37 5mg","Nasal","ll-37-5mg-vial","€40.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ll-37-5mg-vial"
"PE-22-28 10mg","Nootropics","pe-22-28-10mg-vial","€40.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/pe-22-28-10mg-vial"
"Dihexa 100x10mg","Nootropics","dihexa-60x10mg","€135.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/dihexa-60x10mg"
"Oxytocin Acetate 10mg","Nootropics","oxytocin-acetate-2mg-vial","€70.00","PRESCRIPTION_ONLY","CLINICAL","https://rcpeptides.to/products/oxytocin-acetate-2mg-vial"
"Melatonin 10mg","Nootropics","melatonin-10mg-vial","€50.00","CLINICAL","CLINICAL","https://rcpeptides.to/products/melatonin-10mg-vial"
